
[02:21:20.000 --> 02:21:21.000]   >> Thank you.
[02:21:21.000 --> 02:21:25.500]   Beginning of the new year always brings a sense of excitement and opportunity.
[02:21:25.500 --> 02:21:30.800]   Our theme for this year is we are OUSD, learning today, leading tomorrow.
[02:21:30.800 --> 02:21:34.800]   That embodies our commitment to providing an education that not only prepares our
[02:21:34.800 --> 02:21:39.400]   students for academic success, but also codes them with skills and
[02:21:39.400 --> 02:21:42.800]   values necessary to become future leaders.
[02:21:42.800 --> 02:21:46.300]   Staff and administrators have been working throughout the summer to ensure a
[02:21:46.300 --> 02:21:52.900]   smooth start to the school year for our 25,000-plus students and 3,500 staff.
[02:21:52.900 --> 02:21:56.500]   Our transportation department is ready to make sure our students are transported
[02:21:56.500 --> 02:22:01.700]   safely to and from school, and will drive over 7,000 miles across the district on
[02:22:01.700 --> 02:22:03.100]   the first day.
[02:22:03.100 --> 02:22:08.300]   Nutrition services is ready to provide over 10,000 meals on day one, and
[02:22:08.300 --> 02:22:12.400]   maintenance and operations department has worked throughout the summer getting
[02:22:12.400 --> 02:22:16.800]   our sites ready and prepared for our site administrators who have been also
[02:22:16.800 --> 02:22:21.200]   planning and prepping to meet the needs of our students as they arrive on the
[02:22:21.200 --> 02:22:22.000]   first day of school.
[02:22:22.000 --> 02:22:28.700]   In particular, the administration of Villa Park High School has been working to
[02:22:28.700 --> 02:22:33.900]   continue to ensure programs and resources such as the wall space are fully
[02:22:33.900 --> 02:22:38.200]   operational despite some recent obstacles and staffing challenges that
[02:22:38.200 --> 02:22:41.500]   should be resolved and ready to go.
[02:22:41.500 --> 02:22:45.600]   I'm looking forward to the ed services providing a presentation through the
[02:22:45.600 --> 02:22:51.400]   board on the district's continued focus on student wellness and well spaces at
[02:22:51.400 --> 02:22:52.100]   our next meeting.
[02:22:52.100 --> 02:22:58.200]   I could go on and on and talk about the amazing things our staff and
[02:22:58.200 --> 02:23:02.700]   departments are doing to prepare for our students, but it is truly all of us who
[02:23:02.700 --> 02:23:05.600]   are working towards the common goal of preparing our students for learning
[02:23:05.600 --> 02:23:07.100]   today and leading tomorrow.
[02:23:07.100 --> 02:23:12.600]   At the high schools, our students and staff are returning to campus improvements
[02:23:12.600 --> 02:23:16.400]   that have been made possible due to phase two of Measure S.
[02:23:16.400 --> 02:23:19.900]   At this time, we'd like to share a video update on the projects.
[02:23:29.400 --> 02:23:34.600]   Measure S, approved by Orange Unified School District voters in 2016,
[02:23:34.600 --> 02:23:41.300]   authorized $288 million through a general obligation bond measure to modernize
[02:23:41.300 --> 02:23:45.700]   and construct facilities at our four comprehensive high schools.
[02:23:45.700 --> 02:23:53.200]   While the targeted tax rate is $29 per 100,000 of assessed valuation due to
[02:23:53.200 --> 02:23:57.600]   the prudent financial planning and increased overall property values
[02:23:58.000 --> 02:24:05.900]   residents in OUSD boundaries were taxed only $25 and 33 cents of $100,000 of
[02:24:05.900 --> 02:24:11.400]   assessed property value under 2023-2024 property taxes.
