
[02:20:44.000 --> 02:20:47.000]   >> As a superintendent and former Panther principal,
[02:20:47.000 --> 02:20:51.000]   I want to express my heartfelt gratitude to the Board of Education,
[02:20:51.000 --> 02:20:53.000]   Chair, Committee, and OUSD community.
[02:20:53.000 --> 02:20:56.000]   Your support and contributions have made this
[02:20:56.000 --> 02:20:59.000]   and our other Measure S facility improvements a reality.
[02:20:59.000 --> 02:21:02.000]   And for that, we're truly thankful.
[02:21:02.000 --> 02:21:04.000]   So thank you very much.
[02:21:04.000 --> 02:21:08.000]   Next, I just wanted to announce to the audience here,
[02:21:08.000 --> 02:21:11.000]   we are pleased to welcome Sulema Holguin,
[02:21:11.000 --> 02:21:14.000]   our new assistant superintendent of business services.
[02:21:14.000 --> 02:21:18.000]   Sulema comes to OUSD from Belfar Unified
[02:21:18.000 --> 02:21:23.000]   with a career spanning over 27 years in public education,
[02:21:23.000 --> 02:21:27.000]   serving in multiple roles including instructional assistant,
[02:21:27.000 --> 02:21:31.000]   teacher, site administrator, district administrator,
[02:21:31.000 --> 02:21:33.000]   and chief business official.
[02:21:33.000 --> 02:21:36.000]   Her proficiency in financial oversight and management
[02:21:36.000 --> 02:21:40.000]   extends across various departments within business services,
[02:21:40.000 --> 02:21:42.000]   including nutrition services, facilities,
[02:21:42.000 --> 02:21:45.000]   maintenance and operations, payroll, and risk management.
[02:21:45.000 --> 02:21:50.000]   Her broad educational experience makes her a great addition to our team.
[02:21:50.000 --> 02:21:52.000]   Some fun facts about Sulema.
[02:21:52.000 --> 02:22:02.000]   She is a dedicated Raiders fan and will definitely not be rooting for the Steelers this season.
[02:22:02.000 --> 02:22:03.000]   Sorry, Dave.
[02:22:03.000 --> 02:22:09.000]   She's an avid runner and even completed a marathon in Ireland.
[02:22:09.000 --> 02:22:11.000]   She is also an avid swimmer.
[02:22:11.000 --> 02:22:14.000]   She enjoys spending her free time with her family,
[02:22:14.000 --> 02:22:16.000]   which includes her husband, daughter, and son.
[02:22:16.000 --> 02:22:20.000]   We look forward to Sulema's contributions as we continue our commitment
[02:22:20.000 --> 02:22:24.000]   to providing exceptional services to our students, staff, and community.
[02:22:24.000 --> 02:22:27.000]   That concludes my superintendent's report.
[02:22:27.000 --> 02:22:31.000]   Thank you.
[02:22:31.000 --> 02:22:32.000]   And welcome, Sulema.
[02:22:32.000 --> 02:22:34.000]   We're excited that you're here with us.
[02:22:34.000 --> 02:22:43.000]   And just a little gift from the board and myself to welcome in here.
[02:22:43.000 --> 02:22:44.000]   Thank you.
[02:22:44.000 --> 02:22:45.000]   And thank you for the opportunity.
[02:22:45.000 --> 02:22:47.000]   Excited to be OUSD team.
[02:22:47.000 --> 02:22:51.000]   Thank you.
[02:22:51.000 --> 02:22:56.000]   Next for the President's report.
[02:22:56.000 --> 02:23:00.000]   Many may think that there's not a lot happening over the summer,
[02:23:00.000 --> 02:23:04.000]   but hopefully it's an opportunity for our facilities and maintenance teams
[02:23:04.000 --> 02:23:07.000]   to really get into a lot of our classrooms,
[02:23:07.000 --> 02:23:10.000]   all of our facilities, different campuses,
[02:23:10.000 --> 02:23:13.000]   and to really revitalize a lot of our learning spaces
[02:23:13.000 --> 02:23:17.000]   and get ready for our students to come back for the next school year.
[02:23:17.000 --> 02:23:20.000]   Some of the things that have been happening,
[02:23:20.000 --> 02:23:24.000]   if you've noticed in your own homeschool as you drive around town,
[02:23:24.000 --> 02:23:27.000]   taking your children to summer camps and different things,
[02:23:27.000 --> 02:23:29.000]   there's new fencing being put up.
[02:23:29.000 --> 02:23:32.000]   Fire alarms are getting recertified.
[02:23:32.000 --> 02:23:34.000]   A part of our safety plan.
[02:23:34.000 --> 02:23:38.000]   We've also added room numbers in order to be able to identify some of our classrooms
[02:23:38.000 --> 02:23:40.000]   at different campuses.
[02:23:40.000 --> 02:23:47.000]   In addition, we've also had new roofs at five different schools.
[02:23:47.000 --> 02:23:51.000]   We've had blacktop resurfacing at two different schools,
[02:23:51.000 --> 02:23:55.000]   and there's a new playground at the Child Development Center.
[02:23:55.000 --> 02:23:59.000]   And HVAC replacements, there's been painting and flooring,
[02:23:59.000 --> 02:24:01.000]   and so many different things.
[02:24:01.000 --> 02:24:06.000]   I'm sure there's more shade structures also being included in a lot of our elementary schools.
[02:24:06.000 --> 02:24:10.000]   So a lot of the different things that we've been approving in our closed section items
[02:24:10.000 --> 02:24:13.000]   have now come to fruition over the summer,
[02:24:13.000 --> 02:24:17.000]   and we're excited for our kids to have that first glimpse on the first day of school.
[02:24:17.000 --> 02:24:22.000]   In addition to that, I had the opportunity to visit a couple of our summer programs
[02:24:22.000 --> 02:24:26.000]   that I mentioned a couple of board meetings ago that we were offering.
